time,open,high,low,close,ATR Trailing Stoploss,%K,%D,RSI,EMA of RSI
1699380000,150.548,150.563,150.316,150.44,150.28615814396824,81.07416879795322,85.93597005151587,59.52370654238064,60.37726628117642
1699387200,150.44,150.479,150.382,150.414,150.28615814396824,76.28063848260071,81.54482844062298,58.408300136268025,60.01927243664762
1699394400,150.414,150.414,150.344,150.399,150.28615814396824,68.10485023434859,75.15321917163418,57.7361082460812,59.60415167472645
1699401600,150.399,150.62,150.352,150.552,150.28615814396824,70.23240598509241,71.5392982340139,62.47933690639495,60.12691262593891
1699408800,150.552,150.552,150.432,150.498,150.28615814396824,72.02550535883711,70.12092052609269,59.92318602866939,60.08987142643536
1699416000,150.498,150.644,150.462,150.644,150.2983371651939,82.37202934416091,74.87664689603014,64.189073625782,60.83518091722566
1699423200,150.644,150.758,150.638,150.682,150.43346973215515,84.02912315811686,79.47555262037162,65.22655280363905,61.63361216930082
1699430400,150.682,150.78,150.594,150.754,150.4459757857241,91.2889357550081,85.89669608576195,67.16744788310211,62.63976411726469
1699437600,150.754,150.796,150.698,150.741,150.4895806285793,90.52794968855704,88.61533620056066,66.44630604141457,63.33186264892831
1699444800,150.741,150.986,150.727,150.905,150.63726450286342,91.13065190251422,90.98251244869311,70.7175505120251,64.67471498767318
1699452000,150.905,150.954,150.798,150.85,150.63726450286342,85.98745403417877,89.21535187508333,67.60924497982006,65.20826589533625
1699459200,150.85,150.932,150.729,150.91,150.63726450286342,85.53969284014796,87.55259959228029,69.19971146264774,65.93398327121108
1699466400,150.91,151.054,150.832,151.036,150.68175142546608,88.63972818832697,86.72229168755122,72.27814457815023,67.08746714520001
1699473600,151.036,151.059,150.968,150.976,150.72480114037285,91.68225445336782,88.62055849394756,68.75411903567166,67.3904947616494
1699480800,150.976,150.976,150.852,150.854,150.72480114037285,85.90623942362197,88.7427406884389,62.121745663981415,66.43254038025523
1699488000,150.854,151.002,150.824,150.888,150.72480114037285,78.74721958167572,85.44523781955515,63.18752914175474,65.84253833689151
1699495200,150.888,150.95,150.844,150.94,150.72480114037285,76.860301414758,80.50458680668521,64.81798428737233,65.65625578243348
1699502400,150.94,151.038,150.898,151.037,150.74022894709674,85.2478203285924,80.28511377500868,67.69253420408373,66.02648822273352
1699509600,151.037,151.092,150.768,150.914,150.74022894709674,83.80185888262956,81.9699935419933,60.897851686711945,65.09400885254777
1699516800,150.914,151.062,150.878,151.038,150.74022894709674,85.7979621074099,84.94921377287727,64.74030184819914,65.02969848812074
1699524000,151.038,151.186,151.018,151.14,150.82451722091352,84.37746266059308,84.65909455021084,67.56387928350881,65.49045863273676
1699531200,151.14,151.165,150.929,150.972,150.82451722091352,79.17796573978576,83.11779683592958,59.16062239628454,64.33957931701818
1699538400,150.972,151.024,150.832,150.952,150.82451722091352,65.79895951882297,76.45146263973395,58.23208205151709,63.22912526874525
1699545600,150.952,151.098,150.938,151.078,150.82451722091352,60.51158790213038,68.4961710535797,62.251749336245176,63.05142055374524
1699552800,151.078,151.39,151.057,151.326,150.96005185368614,71.90164105888094,66.07072949327811,68.64742356757684,64.06887564716916
1699560000,151.326,151.384,151.266,151.348,150.99284148294893,86.64430125264953,73.01917673788695,69.14681964350345,64.99213819195721
1699567200,151.348,151.368,151.288,151.346,151.02307318635914,92.16377796479323,83.56990675877456,69.03915840361599,65.72796004862244
1699574400,151.346,151.375,151.238,151.24,151.04425854908732,87.35262593783823,88.72023505176033,63.40449749937563,65.30551231239575
1699581600,151.24,151.333,151.222,151.328,151.04425854908732,86.28081457663723,88.5990728264229,65.89320949144893,65.41236634495087
1699588800,151.328,151.409,151.286,151.392,151.1126054714159,87.75476420986304,87.1294015747795,67.61798576817883,65.81338805826505
1699596000,151.392,151.453,151.326,151.377,151.1650843771327,92.0950525818826,88.71021045612763,66.76578514898912,65.98655116566943
1699603200,151.377,151.456,151.326,151.449,151.17366750170615,95.07852051478254,91.64277910217605,68.798519991183,66.49781822485372
1699610400,151.449,151.492,151.393,151.48,151.22653400136494,95.35649527013616,94.17668945560042,69.65899671381439,67.0725779501193
1699617600,151.48,151.482,151.322,151.359,151.22653400136494,92.33762038994797,94.25754539162222,62.42272277332237,66.22714973615622
1699624800,151.359,151.553,151.354,151.478,151.25230176087356,89.20936129674135,92.30115898560848,66.14730299607947,66.21263214705135
1699632000,151.478,151.589,151.451,151.558,151.29324140869886,88.45038447435611,89.9991220536818,68.41390695699576,66.6128639306776
1699639200,151.558,151.605,151.516,151.587,151.33279312695907,94.26800596663935,90.64258391257893,69.21847936371502,67.08661219122986
1699646400,151.587,151.6,151.509,151.54,151.34583450156725,93.78164105712898,92.16667716604145,66.27212704956784,66.93852398365495
1699826400,151.54,151.54,151.454,151.464,151.34583450156725,82.87513801560114,90.30826167978982,61.69872649125494,65.9858335304913
1699833600,151.464,151.662,151.447,151.566,151.38581408100305,76.50196096776115,84.38624668016375,65.17250287668989,65.83795522980014
1699840800,151.566,151.702,151.555,151.672,151.42225126480244,78.37239892396525,79.24983263577583,68.38184183868458,66.30048006777913
1699848000,151.672,151.796,151.669,151.775,151.52140101184196,89.42442719881775,81.43292903018137,71.16261312416056,67.18450425984848
1699855200,151.775,151.802,151.674,151.747,151.53112080947358,93.14418289531928,86.98033633936741,69.37634916934036,67.58302151611973
1699862400,151.747,151.856,151.682,151.774,151.56969664757887,90.10891448083783,90.89250819165828,70.15432406446506,68.05053107036433
1699869600,151.774,151.775,151.694,151.73,151.56969664757887,83.46325813663276,88.9054518375966,67.16003893574458,67.88862340952437
1699876800,151.73,151.84,151.726,151.805,151.58524585445048,83.8327091136086,85.80162724369303,69.54606608044793,68.18997662241956
1699884000,151.805,151.911,151.204,151.69,151.58524585445048,78.53169747151283,81.94255490725138,62.09603817764417,67.08198781427858
1699891200,151.69,151.692,151.496,151.636,151.58524585445048,73.43128373832575,78.59856344114904,58.905096927655535,65.59528038034712
1699898400,151.636,151.683,151.59,151.6,151.58524585445048,61.95190947666083,71.30496356216645,56.809213531707435,63.99781368059445
1699905600,151.6,151.73,151.594,151.721,151.58524585445048,63.41348420556258,66.26555914018303,61.73708978771694,63.586772972798535
1699912800,151.721,151.721,151.626,151.652,151.58524585445048,64.16784535596292,63.17774634606209,57.69457111584759,62.515463544262
1699920000,151.652,151.787,151.616,151.732,151.58524585445048,70.39132484676944,65.99088480276495,60.89197395591394,62.2202836191078
1699927200,151.732,151.758,151.686,151.701,151.58524585445048,69.448373408768,68.00251453716676,59.03017943554406,61.64026467664167
1699934400,151.701,151.734,151.649,151.708,151.58524585445048,72.08863743517122,70.64277856356954,59.33255010717811,61.22068020946648
1699941600,151.708,151.722,151.574,151.634,151.58524585445048,67.46817538896592,69.66839541096836,54.733704702069424,60.04123011721247
1699948800,151.634,151.734,151.604,151.704,151.45713975204623,67.60961810466675,69.05547697626794,58.04636141079806,59.678526716046214
1699956000,151.704,151.747,151.667,151.734,151.49351180163697,68.83545497406847,67.97108282256703,59.417093334051465,59.63099337386535
1699963200,151.734,151.791,150.794,151.002,151.49351180163697,54.76910141455426,63.738058164429795,31.969874811560018,54.601699089809834
1699970400,151.002,151.006,150.68,150.822,151.49351180163697,35.04042783929345,52.881661409305366,28.4852710486675,49.853257627783954
1699977600,150.822,150.868,150.588,150.602,151.49351180163697,10.404948418335449,33.4048258907277,24.911352634454047,45.31836581081488
1699984800,150.602,150.612,150.347,150.35,151.49351180163697,4.267098138392221,16.570824798673687,21.572566257935918,41.000947710291435
1699992000,150.35,150.398,150.156,150.383,151.49351180163697,5.0499164466059305,6.573987667777846,23.027440101581973,37.733037235980625
